Data;Direttrice;Partenza;Arrivo;NumeroTreniProgrammati;NumeroTreniCircolanti;NumeroTreniAnnullati;NumeroTreniInritardo;PercentualeTreniCircolanti;PercentualeTreniAnnullati;PercentualeTreniInritardo ;IndiceRegolarita;RisarcUtenti;note
2013-02;Atlantique;PARIS MONTPARNASSE;ST MALO;48;48;0;1;1;0;0,020833333;0,979166667;0;La panne d'un train de travaux �_ l'entrͩe de la ligne �_ grande vitesse atlantique a gͩnͩrͩ des retards pour de nombreux TGV.
2013-02;Sud-Est;TOULON;PARIS LYON;216;216;0;41;1;0;0,189814815;0,810185185;1;Conditions mͩtͩorologiques difficiles (en particulier la neige et le froid).
2013-02;Atlantique;ST PIERRE DES CORPS;PARIS MONTPARNASSE;396;396;0;55;1;0;0,138888889;0,861111111;0;
2013-02;Atlantique;PARIS MONTPARNASSE;RENNES;507;507;0;29;1;0;0,057199211;0,942800789;0;
2013-02;Sud-Est;PARIS LYON;ANNECY;157;157;0;15;1;0;0,095541401;0,904458599;0;
2013-02;Est;PARIS EST;REIMS;195;195;0;18;1;0;0,092307692;0,907692308;0;
2013-01;Est;PARIS EST;NANCY;297;297;0;68;1;0;0,228956229;0,771043771;1;Plusieures journͩes d'intempͩries ont contraint �_ rͩduire la vitesse des TGV sur leur parcours.
2013-01;Atlantique;PARIS MONTPARNASSE;POITIERS;504;504;0;33;1;0;0,06547619;0,93452381;0;
2013-01;Atlantique;PARIS MONTPARNASSE;NANTES;577;577;0;40;1;0;0,06932409;0,93067591;0;
2013-01;Atlantique;NANTES;PARIS MONTPARNASSE;589;589;0;55;1;0;0,093378608;0,906621392;0;
2013-01;Sud-Est;MULHOUSE VILLE;PARIS LYON;316;316;0;42;1;0;0,132911392;0,867088608;0;
2013-01;Sud-Est;PARIS LYON;MONTPELLIER;349;349;0;38;1;0;0,108882521;0,891117479;0;
2013-01;Sud-Est;NIMES;PARIS LYON;369;369;0;61;1;0;0,165311653;0,834688347;1;
2013-01;Sud-Est;PARIS LYON;NIMES;348;348;0;54;1;0;0,155172414;0,844827586;1;
2013-01;Est;NANTES;STRASBOURG;44;44;0;4;1;0;0,090909091;0,909090909;0;
2013-01;Est;NANCY;PARIS EST;296;296;0;57;1;0;0,192567568;0,807432432;1;
2013-02;Atlantique;PARIS MONTPARNASSE;NANTES;515;515;0;30;1;0;0,058252427;0,941747573;0;Quelques ͩvͩnements ayant de fortes rͩpercussions sur la rͩgularitͩ des trains ont eu lieu (panne d'un train de travaux le 12, accident de personne le 20, rail cassͩ �_ l'entrͩe de la ligne �_ grande vitesse le 21, heurt d'une vache le 26).
2013-02;Atlantique;PARIS MONTPARNASSE;ANGOULEME;297;297;0;13;1;0;0,043771044;0,956228956;0;Quelques ͩvͩnements ayant de fortes rͩpercussions sur la rͩgularitͩ des trains : panne d'un train de travaux le 12 fͩvrier, accident de personne le 16 fͩvrier, panne d'un train de l'entreprise Euro Cargo Rail le 19 fͩvrier.
2013-02;Sud-Est;MARSEILLE ST CHARLES;LYON PART DIEU;538;538;0;121;1;0;0,224907063;0,775092937;1;Conditions mͩtͩorologiques difficiles (en particulier la neige et le froid).
2013-02;Sud-Est;NICE VILLE;PARIS LYON;146;146;0;34;1;0;0,232876712;0,767123288;1;Conditions mͩtͩorologiques difficiles (en particulier la neige et le froid).
2013-02;Sud-Est;PARIS LYON;NICE VILLE;146;146;0;32;1;0;0,219178082;0,780821918;1;Conditions mͩtͩorologiques difficiles (en particulier la neige et le froid).
2013-02;Sud-Est;PARIS LYON;PERPIGNAN;143;143;0;16;1;0;0,111888112;0,888111888;0;Conditions mͩtͩorologiques difficiles (en particulier la neige et le froid).
2013-02;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;204;204;0;6;1;0;0,029411765;0,970588235;0;
2013-02;Atlantique;PARIS MONTPARNASSE;LAVAL;219;219;0;9;1;0;0,04109589;0,95890411;0;
2013-02;Est;PARIS EST;METZ;284;284;0;41;1;0;0,144366197;0,855633803;0;
2013-03;Nord;LILLE;MARSEILLE ST CHARLES;153;148;5;40;0,967320261;0,032679739;0,261437908;0,738562092;1;Les tr��s importantes chutes de neige avec formation de cong��res survenues dans le nord �_ partir du lundi 11 mars dans la soirͩe jusqu'au vendredi 15 mars et ͩgalement dans le sud-est le 12 mars ont fortement perturbͩ la production. Elles ont imposͩ des limitations de vitesse pour ͩviter les projections de glace. Les conditions climatiques difficiles de ces derniers mois ont par ailleurs perturbͩ les diffͩrents programmes travaux sur les voies prolongeant ainsi certaines limitations de vitesse au-del�_ des dͩlais prͩvus. notamment sur Arras et la pͩriphͩrie de Lyon.
2013-03;Atlantique;LA ROCHELLE VILLE;PARIS MONTPARNASSE;222;222;0;13;1;0;0,058558559;0,941441441;0;�_pisode neigeux avec fortes rͩpercussions sur la production les 12 et 13 mars.
2013-02;Sud-Est;PARIS LYON;BELLEGARDE (AIN);248;248;0;72;1;0;0,290322581;0,709677419;1;Conditions mͩtͩorologiques difficiles (en particulier la neige et le froid).
2013-03;Atlantique;ANGERS SAINT LAUD;PARIS MONTPARNASSE;466;465;1;32;0,997854077;0,002145923;0,068669528;0,931330472;0;
2013-03;Atlantique;PARIS MONTPARNASSE;LA ROCHELLE VILLE;225;225;0;12;1;0;0,053333333;0,946666667;0;
2013-03;Atlantique;PARIS MONTPARNASSE;ANGERS SAINT LAUD;446;446;0;30;1;0;0,067264574;0,932735426;0;
2013-02;Atlantique;BORDEAUX ST JEAN;PARIS MONTPARNASSE;612;611;1;48;0,998366013;0,001633987;0,078431373;0,921568627;0;
2013-03;Atlantique;PARIS MONTPARNASSE;BREST;87;87;0;6;1;0;0,068965517;0,931034483;0;
